2023-12-30 20:12:221 INFO  RegisterPage :108 - Sending password to password field[[ChromeDriver: chrome on windows (be776a2a3c10d20442b79622ac76fd82)] -> id: password]
2023-12-30 20:12:385 INFO  RegisterPage :110 - Selecting day from Day dropdown in DOB14
2023-12-30 20:12:559 INFO  RegisterPage :112 - Selecting month from Month dropdown in DOBJanuary
2023-12-30 20:12:855 INFO  RegisterPage :114 - Selecting year from Year dropdown in DOB1988
2023-12-30 20:12:998 INFO  RegisterPage :116 - Sending firstname to First Name field[[ChromeDriver: chrome on windows (be776a2a3c10d20442b79622ac76fd82)] -> id: first_name]
2023-12-30 20:12:221 INFO  RegisterPage :118 - Sending lastname to Last Name fieldPatel
2023-12-30 20:12:436 INFO  RegisterPage :120 - Sending address1 to Address1 fieldRugby Avenue
2023-12-30 20:12:654 INFO  RegisterPage :122 - Sending address2 to Address2 fieldLalbaugh
2023-12-30 20:12:937 INFO  RegisterPage :124 - Selecting country from Country dropdownIndia
2023-12-30 20:12:57 INFO  RegisterPage :126 - Sending state to State fieldGujarat
2023-12-30 20:12:359 INFO  RegisterPage :128 - Sending city to City fieldSurat
2023-12-30 20:12:658 INFO  RegisterPage :130 - Sending zipcode to Zipcode field395001
2023-12-30 20:12:824 INFO  RegisterPage :132 - Sending mobilenumber to Mobile Number field[[ChromeDriver: chrome on windows (be776a2a3c10d20442b79622ac76fd82)] -> id: mobile_number]
2023-12-30 20:12:959 INFO  RegisterPage :141 - Clicking on News Letter Subscription Check Box : [[ChromeDriver: chrome on windows (be776a2a3c10d20442b79622ac76fd82)] -> xpath: //input[@id='newsletter']]
2023-12-30 20:12:188 INFO  RegisterPage :146 - Clicking on Receive Special Offer Check Box : [[ChromeDriver: chrome on windows (be776a2a3c10d20442b79622ac76fd82)] -> xpath: //input[@id='optin']]
2023-12-30 20:12:284 INFO  RegisterPage :153 - Getting account created message : [[ChromeDriver: chrome on windows (be776a2a3c10d20442b79622ac76fd82)] -> xpath: //b[normalize-space()='Account Created!']]
2023-12-30 20:12:483 INFO  RegisterPage :159 - Clicking on continue button after account created : [[ChromeDriver: chrome on windows (be776a2a3c10d20442b79622ac76fd82)] -> xpath: //a[normalize-space()='Continue']]
2023-12-30 20:12:319 INFO  HomePage :67 - Getting text from login page : [[ChromeDriver: chrome on windows (be776a2a3c10d20442b79622ac76fd82)] -> xpath: //li[10]//a[1]]
2023-12-30 20:12:535 INFO  HomePage :43 - Clicking on header menu option : [[[ChromeDriver: chrome on windows (be776a2a3c10d20442b79622ac76fd82)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (be776a2a3c10d20442b79622ac76fd82)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (be776a2a3c10d20442b79622ac76fd82)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (be776a2a3c10d20442b79622ac76fd82)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (be776a2a3c10d20442b79622ac76fd82)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (be776a2a3c10d20442b79622ac76fd82)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (be776a2a3c10d20442b79622ac76fd82)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (be776a2a3c10d20442b79622ac76fd82)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (be776a2a3c10d20442b79622ac76fd82)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (be776a2a3c10d20442b79622ac76fd82)] -> xpath: //ul[@class='nav navbar-nav']/li]]
2023-12-30 20:12:649 INFO  HomePage :58 - Getting account deleted text : Proxy element for: DefaultElementLocator 'By.xpath: //b[normalize-space()='Account Deleted!']'
2023-12-30 20:12:953 INFO  HomePage :49 - Getting Home Page URL : 
2023-12-30 20:12:636 INFO  HomePage :61 - Getting text as New User Signup! : [[ChromeDriver: chrome on windows (f2fc95542fe6c11e9c7ae3bb01408eeb)] -> xpath: //h2[normalize-space()='New User Signup!']]
2023-12-30 20:12:776 INFO  HomePage :73 - Sending the name text to signup field : [[ChromeDriver: chrome on windows (f2fc95542fe6c11e9c7ae3bb01408eeb)] -> xpath: //input[@data-qa='signup-email']]
2023-12-30 20:12:856 INFO  HomePage :75 - Sending the email text to signup field : [[ChromeDriver: chrome on windows (f2fc95542fe6c11e9c7ae3bb01408eeb)] -> xpath: //input[@data-qa='signup-email']]
2023-12-30 20:12:707 INFO  HomePage :91 - Clicking on Signup button : [[ChromeDriver: chrome on windows (f2fc95542fe6c11e9c7ae3bb01408eeb)] -> xpath: //button[normalize-space()='Signup']]
2023-12-30 20:12:868 INFO  RegisterPage :105 - Selecting radio button Mrs.
2023-12-30 20:12:48 INFO  RegisterPage :108 - Sending password to password field[[ChromeDriver: chrome on windows (f2fc95542fe6c11e9c7ae3bb01408eeb)] -> id: password]
2023-12-30 20:12:203 INFO  RegisterPage :110 - Selecting day from Day dropdown in DOB14
2023-12-30 20:12:419 INFO  RegisterPage :112 - Selecting month from Month dropdown in DOBJanuary
2023-12-30 20:12:548 INFO  RegisterPage :114 - Selecting year from Year dropdown in DOB1988
2023-12-30 20:12:659 INFO  RegisterPage :116 - Sending firstname to First Name field[[ChromeDriver: chrome on windows (f2fc95542fe6c11e9c7ae3bb01408eeb)] -> id: first_name]
2023-12-30 20:12:754 INFO  RegisterPage :118 - Sending lastname to Last Name fieldPatel
2023-12-30 20:12:983 INFO  RegisterPage :120 - Sending address1 to Address1 fieldRugby Avenue
2023-12-30 20:12:269 INFO  RegisterPage :122 - Sending address2 to Address2 fieldLalbaugh
2023-12-30 20:12:412 INFO  RegisterPage :124 - Selecting country from Country dropdownIndia
2023-12-30 20:12:587 INFO  RegisterPage :126 - Sending state to State fieldGujarat
2023-12-30 20:12:772 INFO  RegisterPage :128 - Sending city to City fieldSurat
2023-12-30 20:12:949 INFO  RegisterPage :130 - Sending zipcode to Zipcode field395001
2023-12-30 20:12:160 INFO  RegisterPage :132 - Sending mobilenumber to Mobile Number field[[ChromeDriver: chrome on windows (f2fc95542fe6c11e9c7ae3bb01408eeb)] -> id: mobile_number]
2023-12-30 20:12:247 INFO  RegisterPage :141 - Clicking on News Letter Subscription Check Box : [[ChromeDriver: chrome on windows (f2fc95542fe6c11e9c7ae3bb01408eeb)] -> xpath: //input[@id='newsletter']]
2023-12-30 20:12:326 INFO  RegisterPage :146 - Clicking on Receive Special Offer Check Box : [[ChromeDriver: chrome on windows (f2fc95542fe6c11e9c7ae3bb01408eeb)] -> xpath: //input[@id='optin']]
2023-12-30 20:12:223 INFO  RegisterPage :153 - Getting account created message : [[ChromeDriver: chrome on windows (f2fc95542fe6c11e9c7ae3bb01408eeb)] -> xpath: //b[normalize-space()='Account Created!']]
2023-12-30 20:12:551 INFO  RegisterPage :159 - Clicking on continue button after account created : [[ChromeDriver: chrome on windows (f2fc95542fe6c11e9c7ae3bb01408eeb)] -> xpath: //a[normalize-space()='Continue']]
2023-12-30 20:12:790 INFO  HomePage :67 - Getting text from login page : [[ChromeDriver: chrome on windows (f2fc95542fe6c11e9c7ae3bb01408eeb)] -> xpath: //li[10]//a[1]]
